NAMESPACE                             NAME                                                            READY   STATUS    RESTARTS        AGE
argocd                                argocd-application-controller-0                                 1/1     Running   0               3d2h
argocd                                argocd-applicationset-controller-564dd8769c-8t8m7               1/1     Running   0               8d
argocd                                argocd-dex-server-7cfbff4988-2bz9g                              1/1     Running   0               7d3h
argocd                                argocd-notifications-controller-684f78ff74-hbhwr                1/1     Running   0               8d
argocd                                argocd-redis-7666ff8889-bjrsk                                   1/1     Running   0               7d3h
argocd                                argocd-repo-server-5bfbf576f8-gjjfd                             1/1     Running   0               3d2h
argocd                                argocd-server-678b9bd899-gjkql                                  1/1     Running   0               3d2h
bastion                               ubuntu-bastion                                                  1/1     Running   0               23h
central-notificacoes-hml              central-notificacoes-front-59c84f55cd-p677h                     1/1     Running   0               7d7h
central-notificacoes-hml              central-notificacoes-hml-back-c599699f7-b9tjf                   1/1     Running   0               7d5h
central-notificacoes-hml              central-notificacoes-hml-kafka-5dfccf7554-kztr2                 1/1     Running   0               7d5h
central-notificacoes-hml              central-notificacoes-hml-worker-58f666487d-ths9x                1/1     Running   0               8d
cert-manager                          cert-manager-5d495db6fc-h8xmk                                   1/1     Running   0               23h
cert-manager                          cert-manager-cainjector-5f9c9d977f-mzlws                        1/1     Running   0               8d
cert-manager                          cert-manager-webhook-77bf46c6c7-nx7hz                           1/1     Running   0               7d5h
doc-parser                            doc-parser-ms-7cb9649db5-fgf7j                                  1/1     Running   0               8d
doc-parser                            doc-parser-ms-7cb9649db5-nr8lr                                  1/1     Running   0               8d
duagro-hml                            duagro-core-hml-68b9f769b5-g54fp                                1/1     Running   0               7d22h
duagro-hml                            duagro-interface-hml-56945967-w5m7k                             1/1     Running   0               7d3h
duagro-hml                            duagro-rq-worker-hml-b7bbdfd85-ngnd7                            1/1     Running   0               7d22h
duagro-hml                            duagro-scheduler-hml-6b59459566-cc297                           1/1     Running   0               7d3h
fundos-gestora-hml                    fundos-gestora-hml-back-694f68975d-nxs46                        1/1     Running   0               8d
